이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/05/24/SB000000000063070195_1653378794_image1_S.jpeg,하루배송,복플레이스,"2Col[여름,얇아요/찾고찾던!!]후들 얇은 와이드 하이 롱기장 여름 데님팬츠_복플레이스",10%,"35,460원","39,400원","2,098개 구매중",바지
https://image.brandi.me/cproduct/2022/05/13/SB000000000062093607_1652425165_image1_S.jpeg,하루배송,미우블랑,[여름버전/완전편함!!] 차르르핏 롱 핀턱 뒷밴딩 와이드 슬랙스 기장선택 키작녀 키큰녀 빅사이즈 쿨원단 _미우블랑,9%,"27,850원","30,600원","2,670개 구매중",바지
https://image.brandi.me/cproduct/2022/05/16/SB000000000062217728_1652678341_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][바스락,인생팬츠!/기장선택,2XL까지] 고퀄, 핏보장! 나일론 밴딩 트레이닝 롱 와이드팬츠 (5color)_앤드모어",10%,"23,940원","26,600원","3,777개 구매중",바지
https://image.brandi.me/cproduct/2022/05/23/SB000000000062903887_1653333109_image1_S.jpeg,하루배송,미닛마켓,[기장선택/골반커버] 나일론ver 밴딩 와이드 힙 트레이닝 키작녀 키큰녀 팬츠 (5color) _미닛마켓,10%,"23,940원","26,600원","1,674개 구매중",바지
https://image.brandi.me/cproduct/2022/05/12/SB000000000062039692_1652367390_image1_S.jpeg,하루배송,복플레이스,2Col[린넨와이드/핏정말굿!!]린넨 여름 롱와이드 가로 버튼 하이 핏대박 슬랙스팬츠_복플레이스,10%,"26,640원","29,600원",916개 구매중,바지
https://image.brandi.me/cproduct/2021/05/06/SB000000000027321798_1620324076_image1_S.jpeg,하루배송,비비드글로우,[쿠폰][시원한~플리츠! 7color] 플리츠 주름 롱 와이드 일자 여름 홈웨어_비비드글로우,10%,"21,330원","23,700원","5,452개 구매중",바지
https://image.brandi.me/cproduct/2020/04/09/15378981_1586426363_image1_M.jpg,하루배송,유어아운스퀘어,[단독가] [3컬러/색감깡패] 하이웨스트 언발 데미지 반바지_유어아운스퀘어,10%,"26,640원","29,600원","10,101개 구매중",바지
https://image.brandi.me/cproduct/2022/05/30/SB000000000063570032_1653885611_image1_S.jpeg,하루배송,바이영,(모델소장 꼭추천) 코지 하이웨스트 반바지_바이영,10%,"23,130원","25,700원",611개 구매중,바지
https://image.brandi.me/cproduct/2022/05/20/SB000000000062690479_1653032998_image1_S.jpeg,하루배송,앤드모어,"[썸머슬랙스!/기장선택,2XL까지] 차르르~ 인생핏! 하이웨스트 투핀턱 와이드 롱슬랙스 (3color)_앤드모어",10%,"27,540원","30,600원",650개 구매중,바지
https://image.brandi.me/cproduct/2022/02/22/SB000000000052811349_1645492037_image1_S.jpeg,하루배송,박남매x하루배송,기장별로입는 스판짱 투버튼 슬림부츠컷 슬랙스 RZ0155_박남매_2,10%,"24,930원","27,700원","5,672개 구매중",바지
https://image.brandi.me/cproduct/2022/05/24/SB000000000063011426_1653367973_image1_S.jpeg,하루배송,프렌치오브,보트 린넨 여름 밴딩 와이드 롱 팬츠(3color)_프렌치오브,10%,"31,950원","35,500원",228개 구매중,바지
