이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/04/28/SB000000000060585566_1651105508_image1_S.jpeg,하루배송,302호,[쿠폰]오드리 바스락 플레어롱스커트_302호,10%,"31,950원","35,500원",755개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/28/SB000000000063547126_1653742199_image1_S.jpeg,하루배송,302호,리베라 리본롱랩스커트_302호,10%,"28,440원","31,600원",155개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/07/SB000000000058596845_1649293234_image1_S.jpeg,하루배송,피치모어,[벨트세트/속반바지] 핀턱 주름 A라인 미니 스커트_피치모어,10%,"19,530원","21,700원",539개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/29/SB000000000057465054_1648540529_image1_S.jpeg,하루배송,아이딜릭마켓,"최저가 [벨트세트/핏보장!] 요즘 유행! 속바지O, 핏 너무 예쁜 미우 플리츠 스커트_아이딜릭마켓",10%,"19,530원","21,700원",625개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/06/SB000000000058497614_1649231783_image1_S.jpeg,하루배송,비비드글로우,[쿠폰][cool~/냉장고소재] 냉장고 여름 무지 밴딩 플레어 롱 스커트_비비드글로우,10%,"16,020원","17,800원",866개 구매중,스커트
https://image.brandi.me/cproduct/2020/05/17/16453643_1589723597_image1_M.jpg,하루배송,블리즈,차르르 밴딩 쿨링 여름 롱스커트 (1col) 블랙_블리즈,10%,"14,220원","15,800원","8,270개 구매중",스커트
https://image.brandi.me/cproduct/2022/06/16/SB000000000063390564_1655357949_image1_S.jpeg,하루배송,유이아,[뒷트임!] 롱턴 시원 바스락 슬릿 롱 스커트 3COL_유이아,10%,"28,440원","31,600원",125개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/12/SB000000000061891610_1652339865_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][쿨원단/기장선택,2XL까지] 허리잘록~ 투버튼 데님 미니스커트 (2color)_앤드모어",10%,"24,930원","27,700원",451개 구매중,스커트
https://image.brandi.me/cproduct/2021/05/12/SB000000000027321682_1620803685_image1_S.jpeg,하루배송,빈야드,선데이 린넨 여름 랩 롱 스커트(3color)_빈야드,10%,"24,930원","27,700원",880개 구매중,스커트
https://image.brandi.me/cproduct/2022/06/08/SB000000000063856151_1654687080_image1_S.jpeg,하루배송,치치룸,[바스락/캠핑룩]우븐 롱 뒷트임 스커트(6COL)_치치룸,10%,"21,330원","23,700원",71개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/02/SB000000000060931730_1651462811_image1_S.jpeg,하루배송,피치모어,[속바지안감] 청 데님 투버튼 주름 플리츠 튤립 미니스커트_피치모어,10%,"23,130원","25,700원",118개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/03/SB000000000052412316_1651597535_image1_S.jpeg,하루배송,헤른훗,[3color]하객룩 슬림 H라인 하이웨이스트 뒷트임  롱스커트_헤른훗,10%,"25,380원","28,200원",414개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/21/SB000000000050870518_1642751920_image1_S.jpeg,하루배송,이퓨x하루배송,[쿠폰]엠므 코튼 플레어 스커트 - 3color_이퓨_2,10%,"31,950원","35,500원","2,053개 구매중",스커트
https://image.brandi.me/cproduct/2022/01/26/SB000000000051265698_1643165898_image1_S.jpeg,하루배송,빈야드,(벨트set) 보스턴 H 면 핀턱스커트(4color)_빈야드,10%,"26,640원","29,600원",842개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/17/SB000000000062333303_1652772748_image1_S.jpeg,하루배송,복플레이스,"~2XL,2Col[아이스원단/기장선택!!]2버튼 아이스 가벼운 H라인 데님 스커트_복플레이스",10%,"24,930원","27,700원",371개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/10/SB000000000055148554_1646881593_image1_S.jpeg,하루배송,더핑크샵x하루배송,[실물대존예!/속바지내장] 미우미우 단추포켓 주름 데일리 미니 스커트 (3color)_더핑크샵_2,10%,"30,240원","33,600원",806개 구매중,스커트
https://image.brandi.me/cproduct/2022/02/03/SB000000000051746428_1643859152_image1_S.jpeg,하루배송,더핑크샵x하루배송,"[사계절/뒷트임/연청,중청,생지] 메든 H라인 뒷트임 데님 롱 스커트 (4color)_더핑크샵_2",10%,"27,540원","30,600원","1,361개 구매중",스커트
https://image.brandi.me/cproduct/2021/09/16/SB000000000039293549_1631806631_image1_S.jpeg,하루배송,러브모노,[쿠폰][3col] 사선 트임 치마 바지 미니스커트 _ 러브모노,10%,"24,930원","27,700원",637개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/30/SB000000000063611500_1653894195_image1_S.jpeg,하루배송,박남매x하루배송,샤인 비조버튼 핀턱 주름 스커트 P0009609_박남매_2,10%,"19,530원","21,700원",117개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/20/SB000000000050773964_1642698636_image1_S.jpeg,하루배송,미우블랑,[봄버전/주문폭주] 슬림 스판 미니 스커트_미우블랑,6%,"17,580원","18,700원","1,460개 구매중",스커트
https://image.brandi.me/cproduct/2022/03/21/SB000000000056234863_1647868949_image1_S.jpeg,하루배송,헤른훗,[봄버젼] 하객룩 슬림 H라인 롱벨트스커트_헤른훗,10%,"30,240원","33,600원",652개 구매중,스커트
https://image.brandi.me/cproduct/2021/09/24/SB000000000039667025_1632457162_image1_S.jpeg,하루배송,코튼로그,[쿠폰][청순] 체인즈 찰랑 플레어 롱 스커트_코튼로그,10%,"26,640원","29,600원","5,880개 구매중",스커트
https://image.brandi.me/cproduct/2022/05/12/SB000000000061959188_1652331034_image1_S.jpeg,하루배송,코튼로그,[쿠폰][속치마ok] 릿지 A라인 캉캉 롱 스커트_코튼로그,10%,"19,530원","21,700원",153개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/27/SB000000000063463907_1653641836_image1_S.jpeg,하루배송,애니원모어x하루배송,타르 연그레이 나일론 롱 스커트_애니원모어_2,9%,"32,310원","35,500원",12개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/23/SB000000000056967326_1648050870_image1_S.jpeg,하루배송,데이지멜로우,[ 여리여리/ 봄여름가을내내] 샤 스커트 프릴 쉬폰 롱스커트 _데이지멜로우,8%,"25,480원","27,700원",206개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/21/SB000000000056515231_1647854922_image1_S.jpeg,하루배송,미로미로,[바스락/캐주얼무드] 포켓 스토퍼 스커트_미로미로,10%,"26,640원","29,600원",502개 구매중,스커트
https://image.brandi.me/cproduct/2022/06/21/SB000000000065636324_1655797410_image1_S.jpeg,하루배송,프렌치오브,칠링 포켓 밴딩 나일론 여름 치마 롱 스커트(3color)_프렌치오브,10%,"28,440원","31,600원",13개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/02/SB000000000060930966_1651461539_image1_S.jpeg,하루배송,헤이로지즈,[핏대박/꾸안꾸] 머메이드 롱 스커트 _헤이로지즈,10%,"26,640원","29,600원",134개 구매중,스커트
https://image.brandi.me/cproduct/2022/04/06/SB000000000058562398_1649263239_image1_S.jpeg,하루배송,드미엘,[안감바지/짱편함] 하이웨스트 밴딩 프릴 치마바지 2color 여름 큐롯팬츠 치마반바지 플레어_드미엘,10%,"23,130원","25,700원",100개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/17/SB000000000050312542_1642378212_image1_S.jpeg,하루배송,코브리조x하루배송,[찰랑찰랑] A라인 미니 스커트 4colors 하이웨스트 스판 핀턱 플리츠 무지 기본 숏 치마_코브리조_2,10%,"26,640원","29,600원","2,932개 구매중",스커트
https://image.brandi.me/cproduct/2020/05/25/16696455_1590349157_image1_M.jpg,하루배송,로그인,(A라인) 생지 스티치 데님 스커트_로그인,9%,"28,760원","31,600원","2,130개 구매중",스커트
https://image.brandi.me/cproduct/2022/02/14/SB000000000052825765_1644799580_image1_S.jpeg,하루배송,피치모어,[캐주얼] 뒷트임 포인트! 데님 A라인 연청 롱 청치마_피치모어,10%,"23,130원","25,700원",138개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/18/SB000000000062397921_1652835936_image1_S.jpeg,하루배송,아이딜릭마켓,"최저가 [실물대존예/속바지O] *모델 소장, 요즘 유행템 키치 키치 버튼 핀턱 주름 플리츠 스커트_아이딜릭마켓",10%,"19,530원","21,700원",128개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/03/SB000000000054502090_1646274166_image1_S.jpeg,하루배송,드까x하루배송,퀄리티 최고! 스프링 스판 밴딩 슬릿 스커트_드까_2,8%,"27,230원","29,600원","1,278개 구매중",스커트
https://image.brandi.me/cproduct/2021/05/23/SB000000000028642153_1621797321_image1_S.jpeg,하루배송,베이글샵,[강추] 린넨 인어 롱스커트 (4color) 핏보장! 날씬핏 머메이드스커트_베이글샵,9%,"28,760원","31,600원","1,196개 구매중",스커트
https://image.brandi.me/cproduct/2022/04/28/SB000000000060692529_1651159062_image1_S.jpeg,하루배송,앤드모어,"[힙,유니크/쫀쫀스판!] 하이틴 무드, 하이웨스트 투버튼 플리츠 데님 미니스커트 (2color)_앤드모어",10%,"23,130원","25,700원",153개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/11/SB000000000055397962_1647019098_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][벨트세트!/속바지o] 유니크한 매력, 사선 플리츠 미니스커트 (2color)_앤드모어",10%,"19,530원","21,700원","2,623개 구매중",스커트
https://image.brandi.me/cproduct/2022/06/14/SB000000000064908079_1655190241_image1_S.jpeg,하루배송,프렌치오브,웨지 여름 하이웨스트 슬림 치마 미니 스커트(4color)_프렌치오브,10%,"28,440원","31,600원",37개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/09/SB000000000055108739_1646816637_image1_S.jpeg,하루배송,뮤어린,[속바지OK~/마약스판] 색감대박~절개 트임 미니 청 데님 스커트 팬츠 ; 4color_뮤어린,10%,"26,640원","29,600원",306개 구매중,스커트
https://image.brandi.me/cproduct/2022/06/18/SB000000000065445563_1655561308_image1_S.jpeg,하루배송,더모닌,페어 생지 A라인 데님 롱스커트 (1color)_더모닌,10%,"28,440원","31,600원",19개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/18/SB000000000056290888_1647583870_image1_S.jpeg,하루배송,더모닌,[재진행] 잇트 트임 롱 H라인 코튼 스커트 3color_더모닌,10%,"39,060원","43,400원",286개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/17/SB000000000050324780_1642431687_image1_S.jpeg,하루배송,유이아,[착붙 골반핏!!/~XL] 스트릿 카고 스판 치마바지 코튼 미니 스커트 3COLOR_유이아,10%,"39,060원","43,400원",102개 구매중,스커트
https://image.brandi.me/cproduct/2022/03/31/SB000000000057769785_1648722019_image1_S.jpeg,하루배송,더모닌,[벨트SET] 핀턱 속바지 주름 미니 스커트 3color_더모닌,10%,"19,530원","21,700원",728개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/12/SB000000000062043037_1652373029_image1_S.jpeg,하루배송,미우블랑,[핏예뻐요] 단아한 린넨 여름 심플 플레어 롱 스커트_미우블랑,9%,"28,760원","31,600원",102개 구매중,스커트
https://image.brandi.me/cproduct/2022/01/26/SB000000000051321929_1643197342_image1_S.jpeg,하루배송,메종셀린,나들이 플리츠 스커트(치마바지)_메종셀린,10%,"24,930원","27,700원","1,506개 구매중",스커트
https://image.brandi.me/cproduct/2022/02/22/SB000000000053822699_1645549532_image1_S.jpeg,하루배송,라블랑,[핏강추!러블리/3col] 남심저격 살랑 플레어 언발 캉캉 뒷밴딩 쉬폰 치마바지 미니스커트 _라블랑,9%,"32,310원","35,500원",82개 구매중,스커트
https://image.brandi.me/cproduct/2021/10/05/SB000000000040524174_1633402496_image1_S.jpeg,하루배송,피치모드x하루배송,[안감바지!/S~L까지!] 하이틴 플리츠 테니스 스커트_피치모드_2,7%,"20,180원","21,700원","2,559개 구매중",스커트
https://image.brandi.me/cproduct/2022/04/19/SB000000000059768298_1650403726_image1_S.jpeg,하루배송,코브리조x하루배송,[A라인] 핀턱 롱 스커트 5colors 하이웨스트 면 100% 플리츠 주름 치마_코브리조_2,10%,"37,260원","41,400원",86개 구매중,스커트
https://image.brandi.me/cproduct/2022/05/20/SB000000000062638850_1653010651_image1_S.jpeg,하루배송,티티홀릭x하루배송,바스락 밴딩스커트_티티홀릭_2,9%,"30,580원","33,600원",46개 구매중,스커트
