이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/06/08/SB000000000064138613_1654671626_image1_S.jpeg,하루배송,뷰러,[뒷밴딩!] 쿨 델리 나일론 트임 롱원피스 (5col)_뷰러,10%,"26,640원","29,600원",84개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/05/SB000000000027135604_1620232356_image1_S.jpeg,하루배송,빈야드,(끈조절가능)하이 뷔스티에 여름 나시원피스(5color)_빈야드,10%,"21,330원","23,700원","3,648개 구매중",원피스
https://image.brandi.me/cproduct/2021/05/23/SB000000000028635166_1621774667_image1_S.jpeg,하루배송,블리즈,제주 스냅 허리밴딩 롱원피스_블리즈,10%,"35,460원","39,400원","3,672개 구매중",원피스
https://image.brandi.me/cproduct/2022/04/27/SB000000000060571062_1651066503_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][허리잘록~/청순무드] 여신강림, 셔츠 핀턱 반팔 미니원피스 (3color)_앤드모어",10%,"26,640원","29,600원","1,771개 구매중",원피스
https://image.brandi.me/cproduct/2022/05/15/SB000000000062170570_1652585317_image1_S.jpeg,하루배송,데일리유,"[ 청순무드,허리잘록 ] 베이직,핀턱 카라 셔츠 미니원피스 [3color]_데일리유",10%,"26,640원","29,600원",204개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/30/SB000000000063655438_1653929938_image1_S.jpeg,하루배송,블루밍에이치,[문의폭주/5color] 고급스러운 핀턱라인 롱원피스_블루밍에이치,10%,"39,060원","43,400원",143개 구매중,원피스
https://image.brandi.me/cproduct/2021/05/17/SB000000000028165553_1621281417_image1_S.jpeg,하루배송,라프랑,[누적2000장/핏최고] 에르뉘 슬림핏 린넨 뷔스티에 나시 스트랩 롱 원피스 3COL_라프랑,10%,"33,660원","37,400원","2,493개 구매중",원피스
https://image.brandi.me/cproduct/2022/06/02/SB000000000063766009_1654143044_image1_S.jpeg,하루배송,뮤어린,[여리핏/안감O] 제주여행 여름 휴양지 린넨 나시 원피스_뮤어린,10%,"28,440원","31,600원",76개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/10/SB000000000061745852_1652183303_image1_S.jpeg,하루배송,302호,[쿠폰]핏예쁜 여리여리 린넨나시&롱스커트세트_302호,10%,"30,240원","33,600원",732개 구매중,원피스
https://image.brandi.me/cproduct/2022/05/24/SB000000000063091032_1653382230_image1_S.jpeg,하루배송,어니스트,스퀘어넥 퍼프 롱 원피스_어니스트,10%,"35,460원","39,400원",110개 구매중,원피스
