이미지링크,배송명,브랜드,상품명,할인율,할인전 가격,할인후 가격,구매개수,카테고리
https://image.brandi.me/cproduct/2022/04/18/SB000000000059657438_1650303526_image1_S.jpeg,하루배송,슈가파우더,[여름컬러/반팔버전!] 치즈2 코튼 크롭 남방/셔츠_슈가파우더,10%,19530,21700,"5,266 ",상의
https://image.brandi.me/cproduct/2022/06/03/SB000000000063932113_1654240183_image1_S.jpeg,하루배송,프렌치오브,블룸 비비드 펀칭 카라 여름 루즈핏 반팔 니트(7color)_프렌치오브,10%,21330,23700,408 ,상의
https://image.brandi.me/cproduct/2022/05/05/SB000000000061352081_1651752430_image1_S.jpeg,하루배송,반하리마켓,"(시원소재~,데일리) 우드 니트 브이넥 버튼 무지 퍼프 반팔 블라우스_반하리마켓",10%,19530,21700,"1,741 ",상의
https://image.brandi.me/cproduct/2022/05/11/SB000000000061894074_1652285192_image1_S.jpeg,하루배송,몽그라미x하루배송,[여름까지~시원소재!/9col] 크로와상 브이넥 부클 반팔 니트_몽그라미​​​​​​​_2,10%,19530,21700,506 ,상의
https://image.brandi.me/cproduct/2022/04/27/SB000000000060528422_1651044302_image1_S.jpeg,하루배송,러브모노,[쿠폰][4col] 찐추천♥ 밴딩 볼륨 크롭 오프 블라우스 _ 러브모노,7%,20180,21700,"1,101 ",상의
https://image.brandi.me/cproduct/2022/04/28/SB000000000060653001_1651132833_image1_S.jpeg,하루배송,에이치다x하루배송,썸머 쭈글리 반팔 크롭 카라 블라우스 5color_에이치다_2,10%,19530,21700,865 ,상의
https://image.brandi.me/cproduct/2022/05/19/SB000000000062613955_1652961377_image1_S.jpeg,하루배송,몽그라미x하루배송,[백리본 포인트!] 썸머 리본 하트넥 스퀘어 퍼프 블라우스_몽그라미_2,10%,26640,29600,250 ,상의
https://image.brandi.me/cproduct/2022/05/27/SB000000000063446648_1653636359_image1_S.jpeg,하루배송,무드모드,[나시세트/크롭] 미미 셔링 크롭 나시 블라우스_무드모드,10%,24930,27700,104 ,상의
https://image.brandi.me/cproduct/2022/05/27/SB000000000063478631_1653647084_image1_S.jpeg,하루배송,데일리유,"[ 데일리,나시세트] 카라,린넨 베이직 반팔 남방,셔츠 [3color]_데일리유",10%,23130,25700,189 ,상의
https://image.brandi.me/cproduct/2022/04/14/SB000000000045193572_1649903192_image1_S.jpeg,하루배송,리틀페어리,[유교걸가능(들뜸X)/2cm캡내장/양셔링] 핏보장 크롭 탑 레이어드 끈 스판 이너 셔링 나시 (6colors)_리틀페어리,10%,21330,23700,"5,967 ",상의
https://image.brandi.me/cproduct/2022/02/15/SB000000000052995411_1644908285_image1_S.jpeg,하루배송,에이치다x하루배송,[쿠폰]파라다이스 기본핏 반팔 티셔츠 4color_에이치다_2,10%,19530,21700,"6,806 ",상의
https://image.brandi.me/cproduct/2022/05/03/SB000000000061139621_1651586744_image1_S.jpeg,하루배송,앤드모어,"[쿠폰][무려12컬러/여름필수템!] 여리함을 담은, 시스루 슬라브 루즈핏 긴팔티셔츠 (12color)_앤드모어",10%,15120,16800,"1,856 ",상의
https://image.brandi.me/cproduct/2022/06/01/SB000000000063769965_1654105628_image1_S.jpeg,하루배송,슈가파우더,[반팔ver/인기] 스모키 나그랑 배색 레터링 크롭티셔츠_슈가파우더,10%,17730,19700,616 ,상의
